"batch_label","source_row_no","language_code","headword","primary_definition","english_translation","swahili_translation","part_of_speech","dialect_variant","register","pronunciation_ipa","etymology","audio_url","category","created_by","source_name","source_license","source_url","source_note"
"BATCH_SEED_2026_05_01","1","luo","oyawore","A greeting word","hello","habari","interjection","","both","","","","conversation","","Kamusi Yetu seed generator","internal","","Generated from greetings seed pack. Concept ID: GRT_001_HELLO"
"BATCH_SEED_2026_05_01","2","luo","oyawore buondi","Good morning greeting","good morning","habari ya asubuhi","phrase","","both","","","","conversation","","Kamusi Yetu seed generator","internal","","Generated from greetings seed pack. Concept ID: GRT_002_GOOD_MORNING"
"BATCH_SEED_2026_05_01","3","luo","oyawore mano?","How are you?","how are you?","habari yako?","phrase","","both","","","","conversation","","Kamusi Yetu seed generator","internal","","Generated from greetings seed pack. Concept ID: GRT_003_HOW_ARE_YOU"
"BATCH_SEED_2026_05_01","4","luo","oyawore maber","I am fine","I am fine","niko sawa","phrase","","both","","","","conversation","","Kamusi Yetu seed generator","internal","","Generated from greetings seed pack. Concept ID: GRT_004_I_AM_FINE"
"BATCH_SEED_2026_05_01","5","luo","asante","Thank you expression","thank you","asante","interjection","","both","","","","conversation","","Kamusi Yetu seed generator","internal","","Generated from greetings seed pack. Concept ID: GRT_005_THANK_YOU"
"BATCH_SEED_2026_05_01","6","luo","pole","Sorry or condolence","sorry","pole","interjection","","both","","","","conversation","","Kamusi Yetu seed generator","internal","","Generated from greetings seed pack. Concept ID: GRT_006_SORRY"
"BATCH_SEED_2026_05_01","7","luo","karibu","Welcome greeting","welcome","karibu","interjection","","both","","","","conversation","","Kamusi Yetu seed generator","internal","","Generated from greetings seed pack. Concept ID: GRT_007_WELCOME"
"BATCH_SEED_2026_05_01","8","luo","kwaheri","Goodbye","goodbye","kwaheri","interjection","","both","","","","conversation","","Kamusi Yetu seed generator","internal","","Generated from greetings seed pack. Concept ID: GRT_008_GOODBYE"
"BATCH_SEED_2026_05_01","9","luo","wi","Upper body part","head","kichwa","noun","","both","","","","health","","Kamusi Yetu seed generator","internal","","Generated from health seed pack. Concept ID: HLT_001_HEAD"
"BATCH_SEED_2026_05_01","10","luo","iso","Organ of sight","eye","jicho","noun","","both","","","","health","","Kamusi Yetu seed generator","internal","","Generated from health seed pack. Concept ID: HLT_002_EYE"
"BATCH_SEED_2026_05_01","11","luo","pua","Organ of smell","nose","pua","noun","","both","","","","health","","Kamusi Yetu seed generator","internal","","Generated from health seed pack. Concept ID: HLT_003_NOSE"
"BATCH_SEED_2026_05_01","12","luo","tama","Upper limb extremity","hand","mkono","noun","","both","","","","health","","Kamusi Yetu seed generator","internal","","Generated from health seed pack. Concept ID: HLT_005_HAND"
"BATCH_SEED_2026_05_01","13","luo","seche","Lower limb extremity","leg","mguu","noun","","both","","","","health","","Kamusi Yetu seed generator","internal","","Generated from health seed pack. Concept ID: HLT_006_LEG"
"BATCH_SEED_2026_05_01","14","luo","chuny","In poor health","sick","mgonjwa","adjective","","both","","","","health","","Kamusi Yetu seed generator","internal","","Generated from health seed pack. Concept ID: HLT_010_SICK"
"BATCH_SEED_2026_05_01","15","luo","wuon","Male parent","father","baba","noun","","both","","","","family","","Kamusi Yetu seed generator","internal","","Generated from kinship seed pack. Concept ID: KIN_001_FATHER"
"BATCH_SEED_2026_05_01","16","luo","dhako","Female parent","mother","mama","noun","","both","","","","family","","Kamusi Yetu seed generator","internal","","Generated from kinship seed pack. Concept ID: KIN_002_MOTHER"
"BATCH_SEED_2026_05_01","17","luo","owadde","Male sibling","brother","kaka","noun","","both","","","","family","","Kamusi Yetu seed generator","internal","","Generated from kinship seed pack. Concept ID: KIN_003_BROTHER"
"BATCH_SEED_2026_05_01","18","luo","nyathie","Female sibling","sister","dada","noun","","both","","","","family","","Kamusi Yetu seed generator","internal","","Generated from kinship seed pack. Concept ID: KIN_004_SISTER"
"BATCH_SEED_2026_05_01","19","luo","wuowi","Male child","son","mtoto wa kiume","noun","","both","","","","family","","Kamusi Yetu seed generator","internal","","Generated from kinship seed pack. Concept ID: KIN_005_SON"
"BATCH_SEED_2026_05_01","20","luo","nyathi","Female child","daughter","mtoto wa kike","noun","","both","","","","family","","Kamusi Yetu seed generator","internal","","Generated from kinship seed pack. Concept ID: KIN_006_DAUGHTER"
"BATCH_SEED_2026_05_01","21","luo","nyathi","Young person","child","mtoto","noun","","both","","","","family","","Kamusi Yetu seed generator","internal","","Generated from kinship seed pack. Concept ID: KIN_007_CHILD"
"BATCH_SEED_2026_05_01","22","luo","rafiki","Close companion","friend","rafiki","noun","","both","","","","family","","Kamusi Yetu seed generator","internal","","Generated from kinship seed pack. Concept ID: KIN_012_FRIEND"
"BATCH_SEED_2026_05_01","23","luo","achiel","The number one","one","moja","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_001_ONE"
"BATCH_SEED_2026_05_01","24","luo","ariyo","The number two","two","mbili","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_002_TWO"
"BATCH_SEED_2026_05_01","25","luo","adek","The number three","three","tatu","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_003_THREE"
"BATCH_SEED_2026_05_01","26","luo","ang'wan","The number four","four","nne","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_004_FOUR"
"BATCH_SEED_2026_05_01","27","luo","abich","The number five","five","tano","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_005_FIVE"
"BATCH_SEED_2026_05_01","28","luo","auchiel","The number six","six","sita","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_006_SIX"
"BATCH_SEED_2026_05_01","29","luo","abiriyo","The number seven","seven","saba","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_007_SEVEN"
"BATCH_SEED_2026_05_01","30","luo","aboro","The number eight","eight","nane","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_008_EIGHT"
"BATCH_SEED_2026_05_01","31","luo","ochiko","The number nine","nine","tisa","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_009_NINE"
"BATCH_SEED_2026_05_01","32","luo","pogo","The number ten","ten","kumi","number","","both","","","","numbers","","Kamusi Yetu seed generator","internal","","Generated from numbers seed pack. Concept ID: NUM_010_TEN"
